,Altinok,t24,sendika,OdaTV,AnadoluAjansi,Dikgazete,F5,Gerçekgündem,HaberAktuel,Habervinti,Hakkariobjektifhaber,IHA,Ilerigazetesi,KamuBulteni,Medyafaresi,Medyatava,Mynet,NTV,TRThaber,Timeturk,ahaber,bianet,buyuklimanpostasi,denizgazete,dokuzsutun,haksozhaber,sondakika,turkuazgazetesi
AnadoluAjansi,2.0,6.0,0.0,5.0,,6.0,0.0,6.0,8.0,9.0,7.0,5.0,0.0,3.0,2.0,5.0,2.0,9.0,9.0,7.0,4.0,5.0,0.0,0.0,3.0,2.0,11.0,3.0
bianet,2.0,2.0,3.0,1.0,6.0,1.0,0.0,8.0,1.0,4.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,4.0,2.0,0.0,,1.0,0.0,1.0,5.0,3.0,3.0
denizgazete,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,0.0,1.0,0.0,0.0
dokuzsutun,2.0,1.0,2.0,1.0,4.0,1.0,3.0,2.0,5.0,4.0,2.0,0.0,2.0,1.0,3.0,0.0,3.0,6.0,1.0,3.0,2.0,1.0,1.0,0.0,,1.0,6.0,2.0
buyuklimanpostasi,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,0.0,0.0
haksozhaber,1.0,1.0,2.0,1.0,2.0,6.0,1.0,3.0,0.0,3.0,5.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,5.0,0.0,1.0,1.0,,6.0,2.0
IHA,1.0,2.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,5.0,2.0,,0.0,3.0,1.0,5.0,0.0,3.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,3.0
Ilerigazetesi,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,,2.0,0.0,2.0,2.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,1.0,3.0
Timeturk,2.0,4.0,0.0,5.0,10.0,7.0,2.0,10.0,12.0,17.0,5.0,3.0,1.0,5.0,3.0,11.0,3.0,14.0,11.0,,8.0,2.0,1.0,0.0,2.0,1.0,21.0,10.0
turkuazgazetesi,0.0,3.0,1.0,2.0,5.0,1.0,1.0,8.0,8.0,9.0,4.0,1.0,3.0,7.0,4.0,3.0,2.0,5.0,12.0,7.0,7.0,3.0,0.0,0.0,1.0,2.0,9.0,
ahaber,1.0,3.0,1.0,6.0,6.0,1.0,4.0,4.0,13.0,12.0,5.0,0.0,1.0,7.0,5.0,8.0,4.0,9.0,9.0,10.0,,0.0,1.0,0.0,2.0,1.0,17.0,7.0
ensonhaber,2.0,4.0,0.0,3.0,2.0,3.0,1.0,4.0,2.0,6.0,4.0,5.0,0.0,1.0,4.0,1.0,4.0,7.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,15.0,3.0
F5,0.0,1.0,1.0,1.0,0.0,1.0,,3.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,4.0,3.0,1.0,1.0,3.0,5.0,0.0,0.0,0.0,3.0,1.0,5.0,1.0
Gerçekgündem,1.0,10.0,1.0,6.0,7.0,0.0,3.0,,9.0,8.0,2.0,0.0,0.0,5.0,6.0,5.0,4.0,6.0,7.0,13.0,3.0,7.0,0.0,0.0,1.0,3.0,15.0,10.0
HaberAktuel,3.0,3.0,1.0,5.0,9.0,2.0,2.0,9.0,,14.0,4.0,3.0,0.0,3.0,5.0,5.0,3.0,11.0,11.0,13.0,13.0,1.0,1.0,0.0,3.0,0.0,15.0,9.0
Habervinti,5.0,6.0,0.0,8.0,7.0,4.0,2.0,6.0,12.0,,13.0,6.0,1.0,7.0,4.0,6.0,6.0,12.0,6.0,14.0,9.0,3.0,0.0,2.0,4.0,3.0,27.0,8.0
Medyatava,1.0,8.0,2.0,5.0,5.0,3.0,3.0,6.0,6.0,6.0,3.0,6.0,1.0,6.0,8.0,,3.0,9.0,9.0,11.0,9.0,1.0,0.0,0.0,0.0,0.0,6.0,5.0
Hakkariobjektifhaber,2.0,5.0,3.0,6.0,8.0,2.0,1.0,3.0,5.0,17.0,,2.0,1.0,3.0,2.0,3.0,6.0,10.0,6.0,5.0,7.0,3.0,2.0,0.0,3.0,5.0,14.0,7.0
