,Altinok,t24,sendika,OdaTV,AnadoluAjansi,Dikgazete,F5,Gerçekgündem,HaberAktuel,Habervinti,Hakkariobjektifhaber,IHA,Ilerigazetesi,KamuBulteni,Medyafaresi,Medyatava,Mynet,NTV,TRThaber,Timeturk,ahaber,bianet,buyuklimanpostasi,denizgazete,dokuzsutun,haksozhaber,sondakika,turkuazgazetesi,,
AnadoluAjansi,4.26%,12.77%,0.00%,10.64%,nan,12.77%,0.00%,12.77%,17.02%,19.15%,14.89%,10.64%,0.00%,6.38%,4.26%,10.64%,4.26%,19.15%,19.15%,14.89%,8.51%,10.64%,0.00%,0.00%,6.38%,4.26%,23.40%,6.38%,253.21%,253.21%
bianet,3.57%,3.57%,5.36%,1.79%,10.71%,1.79%,0.00%,14.29%,1.79%,7.14%,3.57%,1.79%,0.00%,3.57%,1.79%,1.79%,0.00%,3.57%,7.14%,3.57%,0.00%,nan,1.79%,0.00%,1.79%,8.93%,5.36%,5.36%,,
denizgazete,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.00%,0.00%,0.00%,0.00%,8.00%,0.00%,0.00%,4.00%,4.00%,0.00%,0.00%,0.00%,0.00%,4.00%,nan,0.00%,4.00%,0.00%,0.00%,,
dokuzsutun,4.76%,2.38%,4.76%,2.38%,9.52%,2.38%,7.14%,4.76%,11.90%,9.52%,4.76%,0.00%,4.76%,2.38%,7.14%,0.00%,7.14%,14.29%,2.38%,7.14%,4.76%,2.38%,2.38%,0.00%,nan,2.38%,14.29%,4.76%,,
buyuklimanpostasi,3.85%,0.00%,0.00%,3.85%,0.00%,0.00%,0.00%,0.00%,3.85%,0.00%,7.69%,0.00%,3.85%,0.00%,0.00%,0.00%,0.00%,19.23%,3.85%,3.85%,3.85%,3.85%,nan,3.85%,3.85%,0.00%,0.00%,0.00%,,
haksozhaber,1.35%,1.35%,2.70%,1.35%,2.70%,8.11%,1.35%,4.05%,0.00%,4.05%,6.76%,1.35%,0.00%,2.70%,1.35%,0.00%,1.35%,0.00%,4.05%,1.35%,1.35%,6.76%,0.00%,1.35%,1.35%,nan,8.11%,2.70%,,
IHA,3.45%,6.90%,0.00%,0.00%,17.24%,3.45%,0.00%,0.00%,6.90%,17.24%,6.90%,nan,0.00%,10.34%,3.45%,17.24%,0.00%,10.34%,6.90%,6.90%,0.00%,6.90%,0.00%,0.00%,0.00%,3.45%,13.79%,10.34%,,
Ilerigazetesi,0.00%,0.00%,2.70%,0.00%,0.00%,8.11%,2.70%,0.00%,0.00%,2.70%,5.41%,0.00%,nan,5.41%,0.00%,5.41%,5.41%,8.11%,0.00%,2.70%,2.70%,0.00%,2.70%,0.00%,10.81%,0.00%,2.70%,8.11%,,
Timeturk,2.27%,4.55%,0.00%,5.68%,11.36%,7.95%,2.27%,11.36%,13.64%,19.32%,5.68%,3.41%,1.14%,5.68%,3.41%,12.50%,3.41%,15.91%,12.50%,nan,9.09%,2.27%,1.14%,0.00%,2.27%,1.14%,23.86%,11.36%,,
turkuazgazetesi,0.00%,3.95%,1.32%,2.63%,6.58%,1.32%,1.32%,10.53%,10.53%,11.84%,5.26%,1.32%,3.95%,9.21%,5.26%,3.95%,2.63%,6.58%,15.79%,9.21%,9.21%,3.95%,0.00%,0.00%,1.32%,2.63%,11.84%,nan,,
